announcement_id,author_id,property_id,headline,details,sender_role,recipient_role,created_at,updated_at,deleted_at,notification_date
1,5,3,Pool Area Cleaning,Tillman Inc Apartments: Pool maintenance is scheduled for Tuesday. Please refrain from using the pool area during this time.,landlord,manager,2026-01-26 16:11:36,2026-01-26 16:11:36,,2026-01-26
2,5,1,Pool Area Cleaning,Christiansen-Harris Apartments: Pool maintenance is scheduled for Sunday. Please refrain from using the pool area during this time.,landlord,manager,2026-03-11 23:59:49,2026-03-11 23:59:49,,2026-03-11
3,5,1,Water Outage Alert,"Christiansen-Harris Apartments: Temporary water outage affecting certain floors on May 14, 2026 from 19:03 to 09:33.",manager,tenant,2025-11-23 02:54:12,2025-11-23 02:54:12,,2025-11-23
4,5,3,Laundry Room Maintenance,"Tillman Inc Apartments: The laundry room will be unavailable from 15:14 to 18:52 on May 11, 2026 for equipment servicing.",manager,tenant,2025-11-24 12:58:56,2025-11-24 12:58:56,,2025-11-24
5,5,3,Fire Drill Reminder,Tillman Inc Apartments: Fire drill scheduled for Sunday at 01:59. Follow safety instructions.,manager,tenant,2025-12-25 19:25:44,2025-12-25 19:25:44,,2025-12-25
6,5,3,Pool Area Cleaning,Tillman Inc Apartments: Pool maintenance is scheduled for Monday. Please refrain from using the pool area during this time.,landlord,manager,2026-04-22 18:27:55,2026-04-22 18:27:55,,2026-04-22
7,5,2,Scheduled Maintenance Notice,"Johnson, Hoeger and Lang Apartments: General maintenance will be conducted on all units on May 15, 2026. Expect temporary service interruptions.",manager,tenant,2026-02-14 22:33:55,2026-02-14 22:33:55,,2026-02-14
8,5,3,Pool Area Cleaning,Tillman Inc Apartments: Pool maintenance is scheduled for Monday. Please refrain from using the pool area during this time.,manager,tenant,2025-11-20 18:55:52,2025-11-20 18:55:52,,2025-11-20
9,3,3,Fire Drill Reminder,Tillman Inc Apartments: Fire drill scheduled for Thursday at 19:43. Follow safety instructions.,landlord,manager,2026-04-12 06:51:22,2026-04-12 06:51:22,,2026-04-12
10,3,1,Recycling Program Update,"Christiansen-Harris Apartments: Recycling program updates effective May 12, 2026. Follow new guidelines.",manager,tenant,2025-11-24 09:18:12,2025-11-24 09:18:12,,2025-11-24
11,3,2,Scheduled Maintenance Notice,"Johnson, Hoeger and Lang Apartments: General maintenance will be conducted on all units on May 10, 2026. Expect temporary service interruptions.",manager,tenant,2026-01-17 01:00:59,2026-01-17 01:00:59,,2026-01-17
12,4,2,Fire Drill Reminder,"Johnson, Hoeger and Lang Apartments: Fire drill scheduled for Monday at 01:34. Follow safety instructions.",manager,tenant,2026-04-17 05:10:59,2026-04-17 05:10:59,,2026-04-17
13,4,1,Welcome New Tenants,Christiansen-Harris Apartments: Welcome to our new tenants joining this month. Make them feel at home!,manager,tenant,2026-03-14 18:49:27,2026-03-14 18:49:27,,2026-03-14
14,4,1,Scheduled Maintenance Notice,"Christiansen-Harris Apartments: General maintenance will be conducted on all units on May 15, 2026. Expect temporary service interruptions.",manager,tenant,2026-02-25 19:23:03,2026-02-25 19:23:03,,2026-02-25
15,42,1,Security Upgrade Announcement,"Christiansen-Harris Apartments: Security upgrades on May 20, 2026. Minor access delays expected.",landlord,manager,2026-01-01 14:27:41,2026-01-01 14:27:41,,2026-01-01
16,42,3,Electrical System Upgrade,"Tillman Inc Apartments: Electrical system upgrade on May 16, 2026. Expect brief power outages.",manager,tenant,2025-12-14 08:18:01,2025-12-14 08:18:01,,2025-12-14
17,42,3,Welcome New Tenants,Tillman Inc Apartments: Welcome to our new tenants joining this month. Make them feel at home!,manager,tenant,2025-12-14 14:43:30,2025-12-14 14:43:30,,2025-12-14
18,43,3,HVAC Inspection Notice,"Tillman Inc Apartments: Routine HVAC inspection scheduled on May 26, 2026. Please ensure access to units.",manager,tenant,2026-02-01 08:18:56,2026-02-01 08:18:56,,2026-02-01
19,43,1,Pool Area Cleaning,Christiansen-Harris Apartments: Pool maintenance is scheduled for Sunday. Please refrain from using the pool area during this time.,manager,tenant,2026-03-05 06:30:05,2026-03-05 06:30:05,,2026-03-05
20,43,1,Tenant Meeting Reminder,"Christiansen-Harris Apartments: Tenant meeting scheduled for May 14, 2026 at 19:54. Attendance recommended.",manager,tenant,2026-04-26 16:15:20,2026-04-26 16:15:20,,2026-04-26
21,44,3,Fire Drill Reminder,Tillman Inc Apartments: Fire drill scheduled for Tuesday at 19:23. Follow safety instructions.,manager,tenant,2026-03-01 08:48:07,2026-03-01 08:48:07,,2026-03-01
22,44,2,Community Event Announcement,"Johnson, Hoeger and Lang Apartments: Community event on May 11, 2026 at the common hall. Fun activities planned!",manager,tenant,2026-04-04 23:07:13,2026-04-04 23:07:13,,2026-04-04
23,44,3,HVAC Inspection Notice,"Tillman Inc Apartments: Routine HVAC inspection scheduled on May 16, 2026. Please ensure access to units.",manager,tenant,2026-01-15 11:36:10,2026-01-15 11:36:10,,2026-01-15
