bed_id,unit_id,bed_number,status,created_at,updated_at,deleted_at
3,3,B1,Vacant,2026-05-07 21:25:48,2026-05-07 21:25:48,
4,3,B2,Vacant,2026-05-07 21:25:48,2026-05-07 21:25:48,
5,3,B3,Vacant,2026-05-07 21:25:48,2026-05-07 21:25:48,
7,4,B1,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
8,5,B1,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
9,6,B1,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
10,7,B1,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
11,7,B2,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
12,7,B3,Vacant,2026-05-07 21:25:49,2026-05-07 21:25:49,
17,8,B4,Vacant,2026-05-07 21:25:50,2026-05-07 21:25:50,
18,9,B1,Vacant,2026-05-07 21:25:50,2026-05-07 21:25:50,
20,10,B2,Vacant,2026-05-07 21:25:50,2026-05-07 21:25:50,
23,11,B1,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
25,11,B3,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
27,12,B1,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
28,13,B1,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
29,14,B1,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
30,14,B2,Vacant,2026-05-07 21:25:51,2026-05-07 21:25:51,
31,14,B3,Vacant,2026-05-07 21:25:52,2026-05-07 21:25:52,
33,15,B1,Vacant,2026-05-07 21:25:52,2026-05-07 21:25:52,
34,16,B1,Vacant,2026-05-07 21:25:52,2026-05-07 21:25:52,
35,16,B2,Vacant,2026-05-07 21:25:52,2026-05-07 21:25:52,
39,18,B1,Vacant,2026-05-07 21:25:53,2026-05-07 21:25:53,
42,18,B4,Vacant,2026-05-07 21:25:53,2026-05-07 21:25:53,
45,20,B2,Vacant,2026-05-07 21:25:53,2026-05-07 21:25:53,
48,21,B1,Vacant,2026-05-07 21:25:53,2026-05-07 21:25:53,
50,21,B3,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
51,21,B4,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
53,23,B1,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
54,23,B2,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
55,23,B3,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
57,24,B1,Vacant,2026-05-07 21:25:54,2026-05-07 21:25:54,
58,25,B1,Vacant,2026-05-07 21:25:55,2026-05-07 21:25:55,
60,25,B3,Vacant,2026-05-07 21:25:55,2026-05-07 21:25:55,
62,26,B1,Vacant,2026-05-07 21:25:55,2026-05-07 21:25:55,
63,27,B1,Vacant,2026-05-07 21:25:56,2026-05-07 21:25:56,
65,29,B1,Vacant,2026-05-07 21:25:56,2026-05-07 21:25:56,
66,30,B1,Vacant,2026-05-07 21:25:56,2026-05-07 21:25:56,
67,31,B1,Vacant,2026-05-07 21:25:56,2026-05-07 21:25:56,
68,32,B1,Vacant,2026-05-07 21:25:56,2026-05-07 21:25:56,
69,33,B1,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
70,34,B1,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
72,34,B3,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
73,34,B4,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
74,35,B1,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
75,36,B1,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
76,37,B1,Vacant,2026-05-07 21:25:57,2026-05-07 21:25:57,
77,38,B1,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
78,39,B1,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
80,39,B3,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
81,39,B4,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
82,40,B1,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
83,40,B2,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
85,40,B4,Vacant,2026-05-07 21:25:58,2026-05-07 21:25:58,
87,42,B1,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
88,43,B1,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
89,43,B2,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
90,43,B3,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
92,44,B1,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
93,45,B1,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
94,45,B2,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
95,45,B3,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
96,45,B4,Vacant,2026-05-07 21:25:59,2026-05-07 21:25:59,
97,46,B1,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
98,46,B2,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
99,46,B3,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
100,46,B4,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
102,48,B1,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
103,49,B1,Vacant,2026-05-07 21:26:00,2026-05-07 21:26:00,
108,51,B1,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
109,51,B2,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
110,51,B3,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
111,51,B4,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
112,52,B1,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
113,53,B1,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
114,53,B2,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
115,53,B3,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
116,53,B4,Vacant,2026-05-07 21:26:01,2026-05-07 21:26:01,
117,54,B1,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
118,55,B1,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
119,55,B2,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
120,55,B3,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
121,55,B4,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
122,56,B1,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
123,57,B1,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
124,58,B1,Vacant,2026-05-07 21:26:02,2026-05-07 21:26:02,
125,59,B1,Vacant,2026-05-07 21:26:03,2026-05-07 21:26:03,
126,60,B1,Vacant,2026-05-07 21:26:03,2026-05-07 21:26:03,
127,60,B2,Vacant,2026-05-07 21:26:03,2026-05-07 21:26:03,
128,60,B3,Vacant,2026-05-07 21:26:03,2026-05-07 21:26:03,
129,60,B4,Vacant,2026-05-07 21:26:03,2026-05-07 21:26:03,
1,1,B1,Occupied,2026-05-07 21:25:48,2026-05-07 21:26:09,
2,2,B1,Occupied,2026-05-07 21:25:48,2026-05-07 21:26:09,
