billing_item_id,billing_id,charge_category,charge_type,description,amount,created_at,updated_at,deleted_at
1,1,move_in,advance,1 Month Advance — First Month Rent,12422.00,,,
2,1,move_in,security_deposit,1 Month Security Deposit,12422.00,,,
3,2,recurring,rent,Monthly Rent,12422.00,,,
4,2,recurring,electricity_share,Electricity Share,1931.33,,,
5,2,recurring,water_share,Water Share,312.02,,,
6,2,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
7,3,recurring,rent,Monthly Rent,12422.00,,,
8,3,recurring,electricity_share,Electricity Share,2056.55,,,
9,3,recurring,water_share,Water Share,446.93,,,
10,3,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
11,4,recurring,rent,Monthly Rent,12422.00,,,
12,4,recurring,electricity_share,Electricity Share,1084.88,,,
13,4,recurring,water_share,Water Share,138.25,,,
14,4,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
15,5,move_out,electricity_share,Final Electricity Share,1084.88,,,
16,5,move_out,water_share,Final Water Share,138.25,,,
17,5,move_out,deposit_refund,Security Deposit Refund,-12422.00,,,
18,6,move_in,advance,1 Month Advance — First Month Rent,12004.00,,,
19,6,move_in,security_deposit,1 Month Security Deposit,12004.00,,,
20,7,recurring,rent,Monthly Rent,12004.00,,,
21,7,recurring,electricity_share,Electricity Share,1195.42,,,
22,7,recurring,water_share,Water Share,131.21,,,
23,7,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
24,8,move_out,electricity_share,Final Electricity Share,1195.42,,,
25,8,move_out,water_share,Final Water Share,131.21,,,
26,8,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
27,9,recurring,rent,Monthly Rent,12004.00,,,
28,9,recurring,electricity_share,Electricity Share,1142.96,,,
29,9,recurring,water_share,Water Share,159.75,,,
30,9,conditional,short_term_premium,Short-Term Premium (contract under 6 months),500.00,,,
31,10,move_out,electricity_share,Final Electricity Share,1142.96,,,
32,10,move_out,water_share,Final Water Share,159.75,,,
33,10,move_out,deposit_refund,Security Deposit Refund,-12004.00,,,
34,11,move_in,advance,1 Month Advance — First Month Rent,12813.00,,,
35,11,move_in,security_deposit,1 Month Security Deposit,12813.00,,,
36,12,recurring,rent,Monthly Rent,12813.00,,,
37,12,recurring,electricity_share,Electricity Share,1622.07,,,
38,12,recurring,water_share,Water Share,364.80,,,
39,13,recurring,rent,Monthly Rent,12813.00,,,
40,13,recurring,electricity_share,Electricity Share,2078.49,,,
41,13,recurring,water_share,Water Share,272.18,,,
42,14,recurring,rent,Monthly Rent,12813.00,,,
43,14,recurring,electricity_share,Electricity Share,1899.28,,,
44,14,recurring,water_share,Water Share,222.73,,,
45,15,recurring,rent,Monthly Rent,12813.00,,,
46,15,recurring,electricity_share,Electricity Share,2206.86,,,
47,16,recurring,rent,Monthly Rent,12813.00,,,
48,16,recurring,electricity_share,Electricity Share,1939.17,,,
49,17,recurring,rent,Monthly Rent,12813.00,,,
50,17,recurring,electricity_share,Electricity Share,2349.11,,,
51,17,recurring,water_share,Water Share,289.96,,,
52,18,recurring,rent,Monthly Rent,12813.00,,,
53,18,recurring,electricity_share,Electricity Share,2119.16,,,
54,19,recurring,rent,Monthly Rent,12813.00,,,
55,19,recurring,electricity_share,Electricity Share,1212.81,,,
56,20,recurring,rent,Monthly Rent,12813.00,,,
57,20,recurring,electricity_share,Electricity Share,1240.43,,,
58,20,recurring,water_share,Water Share,307.60,,,
59,21,recurring,rent,Monthly Rent,12813.00,,,
60,21,recurring,electricity_share,Electricity Share,1964.81,,,
61,22,recurring,rent,Monthly Rent,12813.00,,,
62,22,recurring,electricity_share,Electricity Share,2352.63,,,
63,22,recurring,water_share,Water Share,377.30,,,
64,23,recurring,rent,Monthly Rent,12813.00,,,
65,23,recurring,electricity_share,Electricity Share,1169.90,,,
66,23,recurring,water_share,Water Share,239.97,,,
67,24,move_out,electricity_share,Final Electricity Share,1169.90,,,
68,24,move_out,water_share,Final Water Share,239.97,,,
69,24,move_out,deposit_refund,Security Deposit Refund,-12813.00,,,
70,25,recurring,rent,Monthly Rent,12422.00,,,
71,25,recurring,electricity_share,Electricity Share,1301.19,,,
72,25,recurring,water_share,Water Share,229.51,,,
