billing_id,lease_id,billing_date,next_billing,to_pay,amount,status,created_at,updated_at,deleted_at,billing_type,due_date,previous_balance,tenant_id
1,242,2021-01-01,2021-02-01,24844.00,24844.00,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,move_in,2021-01-01,0.00,41
2,242,2021-02-01,2021-03-01,15165.35,15165.35,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,monthly,2021-02-06,0.00,41
3,242,2021-03-01,2021-04-01,15425.48,15425.48,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,monthly,2021-03-06,0.00,41
4,242,2021-04-01,2021-05-01,14145.13,14145.13,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,monthly,2021-04-06,0.00,41
5,242,2021-04-01,2021-04-01,-11198.87,-11198.87,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,move_out,2021-04-16,0.00,41
6,24,2021-03-01,2021-04-01,24008.00,24008.00,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,move_in,2021-03-01,0.00,12
7,24,2021-04-01,2021-05-01,13830.63,13830.63,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,monthly,2021-04-06,0.00,12
8,24,2021-04-01,2021-04-01,-10677.37,-10677.37,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,move_out,2021-04-16,0.00,12
9,25,2021-05-01,2021-06-01,13806.71,13806.71,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,monthly,2021-05-06,0.00,12
10,25,2021-05-01,2021-05-01,-10701.29,-10701.29,Paid,2026-05-07 21:28:02,2026-05-07 21:28:02,,move_out,2021-05-16,0.00,12
11,292,2021-04-01,2021-05-01,25626.00,25626.00,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,move_in,2021-04-01,0.00,7
12,292,2021-05-01,2021-06-01,14799.87,14799.87,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-05-06,0.00,7
13,292,2021-06-01,2021-07-01,15163.67,15163.67,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-06-06,0.00,7
14,292,2021-07-01,2021-08-01,14935.01,14935.01,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-07-06,0.00,7
15,292,2021-08-01,2021-09-01,15019.86,15019.86,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-08-06,0.00,7
16,292,2021-09-01,2021-10-01,14752.17,14752.17,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-09-06,0.00,7
17,292,2021-10-01,2021-11-01,15452.07,15452.07,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-10-06,0.00,7
18,292,2021-11-01,2021-12-01,14932.16,14932.16,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-11-06,0.00,7
19,292,2021-12-01,2022-01-01,14025.81,14025.81,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-12-06,0.00,7
20,292,2022-01-01,2022-02-01,14361.03,14361.03,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2022-01-06,0.00,7
21,292,2022-02-01,2022-03-01,14777.81,14777.81,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2022-02-06,0.00,7
22,292,2022-03-01,2022-04-01,15542.93,15542.93,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2022-03-06,0.00,7
23,292,2022-04-01,2022-05-01,14222.87,14222.87,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2022-04-06,0.00,7
24,292,2022-04-01,2022-04-01,-11403.13,-11403.13,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,move_out,2022-04-16,0.00,7
25,243,2021-05-01,2021-06-01,13952.70,13952.70,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-05-06,0.00,41
26,243,2021-06-01,2021-07-01,14155.11,14155.11,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-06-06,0.00,41
27,243,2021-07-01,2021-08-01,14588.78,14588.78,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-07-06,0.00,41
28,243,2021-08-01,2021-09-01,13959.60,13959.60,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-08-06,0.00,41
29,243,2021-09-01,2021-10-01,13934.19,13934.19,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-09-06,0.00,41
30,243,2021-10-01,2021-11-01,13033.59,13033.59,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-10-06,0.00,41
31,243,2021-10-01,2021-10-01,-11810.41,-11810.41,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,move_out,2021-10-16,0.00,41
32,26,2021-06-01,2021-07-01,13707.39,13707.39,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,monthly,2021-06-06,0.00,12
33,26,2021-06-01,2021-06-01,-10800.61,-10800.61,Paid,2026-05-07 21:28:03,2026-05-07 21:28:03,,move_out,2021-06-16,0.00,12
