id,psgc_code,name,province_id,created_at,updated_at
1,012801000,Adams,1,2026-05-07 21:07:21,2026-05-07 21:07:21
2,012802000,Bacarra,1,2026-05-07 21:07:21,2026-05-07 21:07:21
3,012803000,Badoc,1,2026-05-07 21:07:21,2026-05-07 21:07:21
4,012804000,Bangui,1,2026-05-07 21:07:21,2026-05-07 21:07:21
5,012805000,City of Batac,1,2026-05-07 21:07:21,2026-05-07 21:07:21
6,012806000,Burgos,1,2026-05-07 21:07:21,2026-05-07 21:07:21
7,012807000,Carasi,1,2026-05-07 21:07:21,2026-05-07 21:07:21
8,012808000,Currimao,1,2026-05-07 21:07:21,2026-05-07 21:07:21
9,012809000,Dingras,1,2026-05-07 21:07:21,2026-05-07 21:07:21
10,012810000,Dumalneg,1,2026-05-07 21:07:21,2026-05-07 21:07:21
11,012811000,Banna,1,2026-05-07 21:07:21,2026-05-07 21:07:21
12,012812000,City of Laoag,1,2026-05-07 21:07:21,2026-05-07 21:07:21
13,012813000,Marcos,1,2026-05-07 21:07:21,2026-05-07 21:07:21
14,012814000,Nueva Era,1,2026-05-07 21:07:21,2026-05-07 21:07:21
15,012815000,Pagudpud,1,2026-05-07 21:07:21,2026-05-07 21:07:21
16,012816000,Paoay,1,2026-05-07 21:07:21,2026-05-07 21:07:21
17,012817000,Pasuquin,1,2026-05-07 21:07:21,2026-05-07 21:07:21
18,012818000,Piddig,1,2026-05-07 21:07:21,2026-05-07 21:07:21
19,012819000,Pinili,1,2026-05-07 21:07:21,2026-05-07 21:07:21
20,012820000,San Nicolas,1,2026-05-07 21:07:21,2026-05-07 21:07:21
21,012821000,Sarrat,1,2026-05-07 21:07:21,2026-05-07 21:07:21
22,012822000,Solsona,1,2026-05-07 21:07:21,2026-05-07 21:07:21
23,012823000,Vintar,1,2026-05-07 21:07:21,2026-05-07 21:07:21
24,012901000,Alilem,2,2026-05-07 21:07:21,2026-05-07 21:07:21
25,012902000,Banayoyo,2,2026-05-07 21:07:21,2026-05-07 21:07:21
26,012903000,Bantay,2,2026-05-07 21:07:21,2026-05-07 21:07:21
27,012904000,Burgos,2,2026-05-07 21:07:21,2026-05-07 21:07:21
28,012905000,Cabugao,2,2026-05-07 21:07:21,2026-05-07 21:07:21
29,012906000,City of Candon,2,2026-05-07 21:07:21,2026-05-07 21:07:21
30,012907000,Caoayan,2,2026-05-07 21:07:21,2026-05-07 21:07:21
31,012908000,Cervantes,2,2026-05-07 21:07:21,2026-05-07 21:07:21
32,012909000,Galimuyod,2,2026-05-07 21:07:21,2026-05-07 21:07:21
33,012910000,Gregorio Del Pilar,2,2026-05-07 21:07:21,2026-05-07 21:07:21
34,012911000,Lidlidda,2,2026-05-07 21:07:21,2026-05-07 21:07:21
35,012912000,Magsingal,2,2026-05-07 21:07:21,2026-05-07 21:07:21
36,012913000,Nagbukel,2,2026-05-07 21:07:21,2026-05-07 21:07:21
37,012914000,Narvacan,2,2026-05-07 21:07:21,2026-05-07 21:07:21
38,012915000,Quirino,2,2026-05-07 21:07:21,2026-05-07 21:07:21
39,012916000,Salcedo,2,2026-05-07 21:07:21,2026-05-07 21:07:21
40,012917000,San Emilio,2,2026-05-07 21:07:21,2026-05-07 21:07:21
41,012918000,San Esteban,2,2026-05-07 21:07:21,2026-05-07 21:07:21
42,012919000,San Ildefonso,2,2026-05-07 21:07:21,2026-05-07 21:07:21
43,012920000,San Juan,2,2026-05-07 21:07:21,2026-05-07 21:07:21
44,012921000,San Vicente,2,2026-05-07 21:07:21,2026-05-07 21:07:21
45,012922000,Santa,2,2026-05-07 21:07:21,2026-05-07 21:07:21
46,012923000,Santa Catalina,2,2026-05-07 21:07:21,2026-05-07 21:07:21
47,012924000,Santa Cruz,2,2026-05-07 21:07:21,2026-05-07 21:07:21
48,012925000,Santa Lucia,2,2026-05-07 21:07:21,2026-05-07 21:07:21
49,012926000,Santa Maria,2,2026-05-07 21:07:21,2026-05-07 21:07:21
50,012927000,Santiago,2,2026-05-07 21:07:21,2026-05-07 21:07:21
51,012928000,Santo Domingo,2,2026-05-07 21:07:21,2026-05-07 21:07:21
52,012929000,Sigay,2,2026-05-07 21:07:21,2026-05-07 21:07:21
53,012930000,Sinait,2,2026-05-07 21:07:21,2026-05-07 21:07:21
54,012931000,Sugpon,2,2026-05-07 21:07:21,2026-05-07 21:07:21
55,012932000,Suyo,2,2026-05-07 21:07:21,2026-05-07 21:07:21
56,012933000,Tagudin,2,2026-05-07 21:07:21,2026-05-07 21:07:21
57,012934000,City of Vigan,2,2026-05-07 21:07:21,2026-05-07 21:07:21
58,013301000,Agoo,3,2026-05-07 21:07:21,2026-05-07 21:07:21
59,013302000,Aringay,3,2026-05-07 21:07:21,2026-05-07 21:07:21
60,013303000,Bacnotan,3,2026-05-07 21:07:21,2026-05-07 21:07:21
61,013304000,Bagulin,3,2026-05-07 21:07:21,2026-05-07 21:07:21
62,013305000,Balaoan,3,2026-05-07 21:07:21,2026-05-07 21:07:21
63,013306000,Bangar,3,2026-05-07 21:07:21,2026-05-07 21:07:21
64,013307000,Bauang,3,2026-05-07 21:07:21,2026-05-07 21:07:21
65,013308000,Burgos,3,2026-05-07 21:07:21,2026-05-07 21:07:21
66,013309000,Caba,3,2026-05-07 21:07:21,2026-05-07 21:07:21
67,013310000,Luna,3,2026-05-07 21:07:21,2026-05-07 21:07:21
68,013311000,Naguilian,3,2026-05-07 21:07:21,2026-05-07 21:07:21
69,013312000,Pugo,3,2026-05-07 21:07:21,2026-05-07 21:07:21
70,013313000,Rosario,3,2026-05-07 21:07:21,2026-05-07 21:07:21
71,013314000,City of San Fernando,3,2026-05-07 21:07:21,2026-05-07 21:07:21
72,013315000,San Gabriel,3,2026-05-07 21:07:21,2026-05-07 21:07:21
73,013316000,San Juan,3,2026-05-07 21:07:21,2026-05-07 21:07:21
74,013317000,Santo Tomas,3,2026-05-07 21:07:21,2026-05-07 21:07:21
75,013318000,Santol,3,2026-05-07 21:07:21,2026-05-07 21:07:21
76,013319000,Sudipen,3,2026-05-07 21:07:21,2026-05-07 21:07:21
77,013320000,Tubao,3,2026-05-07 21:07:21,2026-05-07 21:07:21
78,015501000,Agno,4,2026-05-07 21:07:21,2026-05-07 21:07:21
79,015502000,Aguilar,4,2026-05-07 21:07:21,2026-05-07 21:07:21
80,015503000,City of Alaminos,4,2026-05-07 21:07:21,2026-05-07 21:07:21
81,015504000,Alcala,4,2026-05-07 21:07:21,2026-05-07 21:07:21
82,015505000,Anda,4,2026-05-07 21:07:21,2026-05-07 21:07:21
83,015506000,Asingan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
84,015507000,Balungao,4,2026-05-07 21:07:21,2026-05-07 21:07:21
85,015508000,Bani,4,2026-05-07 21:07:21,2026-05-07 21:07:21
86,015509000,Basista,4,2026-05-07 21:07:21,2026-05-07 21:07:21
87,015510000,Bautista,4,2026-05-07 21:07:21,2026-05-07 21:07:21
88,015511000,Bayambang,4,2026-05-07 21:07:21,2026-05-07 21:07:21
89,015512000,Binalonan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
90,015513000,Binmaley,4,2026-05-07 21:07:21,2026-05-07 21:07:21
91,015514000,Bolinao,4,2026-05-07 21:07:21,2026-05-07 21:07:21
92,015515000,Bugallon,4,2026-05-07 21:07:21,2026-05-07 21:07:21
93,015516000,Burgos,4,2026-05-07 21:07:21,2026-05-07 21:07:21
94,015517000,Calasiao,4,2026-05-07 21:07:21,2026-05-07 21:07:21
95,015518000,City of Dagupan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
96,015519000,Dasol,4,2026-05-07 21:07:21,2026-05-07 21:07:21
97,015520000,Infanta,4,2026-05-07 21:07:21,2026-05-07 21:07:21
98,015521000,Labrador,4,2026-05-07 21:07:21,2026-05-07 21:07:21
99,015522000,Lingayen,4,2026-05-07 21:07:21,2026-05-07 21:07:21
100,015523000,Mabini,4,2026-05-07 21:07:21,2026-05-07 21:07:21
101,015524000,Malasiqui,4,2026-05-07 21:07:21,2026-05-07 21:07:21
102,015525000,Manaoag,4,2026-05-07 21:07:21,2026-05-07 21:07:21
103,015526000,Mangaldan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
104,015527000,Mangatarem,4,2026-05-07 21:07:21,2026-05-07 21:07:21
105,015528000,Mapandan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
106,015529000,Natividad,4,2026-05-07 21:07:21,2026-05-07 21:07:21
107,015530000,Pozorrubio,4,2026-05-07 21:07:21,2026-05-07 21:07:21
108,015531000,Rosales,4,2026-05-07 21:07:21,2026-05-07 21:07:21
109,015532000,City of San Carlos,4,2026-05-07 21:07:21,2026-05-07 21:07:21
110,015533000,San Fabian,4,2026-05-07 21:07:21,2026-05-07 21:07:21
111,015534000,San Jacinto,4,2026-05-07 21:07:21,2026-05-07 21:07:21
112,015535000,San Manuel,4,2026-05-07 21:07:21,2026-05-07 21:07:21
113,015536000,San Nicolas,4,2026-05-07 21:07:21,2026-05-07 21:07:21
114,015537000,San Quintin,4,2026-05-07 21:07:21,2026-05-07 21:07:21
115,015538000,Santa Barbara,4,2026-05-07 21:07:21,2026-05-07 21:07:21
116,015539000,Santa Maria,4,2026-05-07 21:07:21,2026-05-07 21:07:21
117,015540000,Santo Tomas,4,2026-05-07 21:07:21,2026-05-07 21:07:21
118,015541000,Sison,4,2026-05-07 21:07:21,2026-05-07 21:07:21
119,015542000,Sual,4,2026-05-07 21:07:21,2026-05-07 21:07:21
120,015543000,Tayug,4,2026-05-07 21:07:21,2026-05-07 21:07:21
121,015544000,Umingan,4,2026-05-07 21:07:21,2026-05-07 21:07:21
122,015545000,Urbiztondo,4,2026-05-07 21:07:21,2026-05-07 21:07:21
123,015546000,City of Urdaneta,4,2026-05-07 21:07:21,2026-05-07 21:07:21
124,015547000,Villasis,4,2026-05-07 21:07:21,2026-05-07 21:07:21
125,015548000,Laoac,4,2026-05-07 21:07:21,2026-05-07 21:07:21
126,020901000,Basco,5,2026-05-07 21:07:21,2026-05-07 21:07:21
127,020902000,Itbayat,5,2026-05-07 21:07:21,2026-05-07 21:07:21
128,020903000,Ivana,5,2026-05-07 21:07:21,2026-05-07 21:07:21
129,020904000,Mahatao,5,2026-05-07 21:07:21,2026-05-07 21:07:21
130,020905000,Sabtang,5,2026-05-07 21:07:21,2026-05-07 21:07:21
131,020906000,Uyugan,5,2026-05-07 21:07:21,2026-05-07 21:07:21
132,021501000,Abulug,6,2026-05-07 21:07:21,2026-05-07 21:07:21
133,021502000,Alcala,6,2026-05-07 21:07:21,2026-05-07 21:07:21
134,021503000,Allacapan,6,2026-05-07 21:07:21,2026-05-07 21:07:21
135,021504000,Amulung,6,2026-05-07 21:07:21,2026-05-07 21:07:21
136,021505000,Aparri,6,2026-05-07 21:07:21,2026-05-07 21:07:21
137,021506000,Baggao,6,2026-05-07 21:07:21,2026-05-07 21:07:21
138,021507000,Ballesteros,6,2026-05-07 21:07:21,2026-05-07 21:07:21
139,021508000,Buguey,6,2026-05-07 21:07:21,2026-05-07 21:07:21
140,021509000,Calayan,6,2026-05-07 21:07:21,2026-05-07 21:07:21
141,021510000,Camalaniugan,6,2026-05-07 21:07:21,2026-05-07 21:07:21
142,021511000,Claveria,6,2026-05-07 21:07:21,2026-05-07 21:07:21
143,021512000,Enrile,6,2026-05-07 21:07:21,2026-05-07 21:07:21
144,021513000,Gattaran,6,2026-05-07 21:07:21,2026-05-07 21:07:21
145,021514000,Gonzaga,6,2026-05-07 21:07:21,2026-05-07 21:07:21
146,021515000,Iguig,6,2026-05-07 21:07:21,2026-05-07 21:07:21
147,021516000,Lal-Lo,6,2026-05-07 21:07:21,2026-05-07 21:07:21
148,021517000,Lasam,6,2026-05-07 21:07:21,2026-05-07 21:07:21
149,021518000,Pamplona,6,2026-05-07 21:07:21,2026-05-07 21:07:21
150,021519000,Peñablanca,6,2026-05-07 21:07:21,2026-05-07 21:07:21
151,021520000,Piat,6,2026-05-07 21:07:21,2026-05-07 21:07:21
152,021521000,Rizal,6,2026-05-07 21:07:21,2026-05-07 21:07:21
153,021522000,Sanchez-Mira,6,2026-05-07 21:07:21,2026-05-07 21:07:21
154,021523000,Santa Ana,6,2026-05-07 21:07:21,2026-05-07 21:07:21
155,021524000,Santa Praxedes,6,2026-05-07 21:07:21,2026-05-07 21:07:21
156,021525000,Santa Teresita,6,2026-05-07 21:07:21,2026-05-07 21:07:21
157,021526000,Santo Niño,6,2026-05-07 21:07:21,2026-05-07 21:07:21
158,021527000,Solana,6,2026-05-07 21:07:21,2026-05-07 21:07:21
159,021528000,Tuao,6,2026-05-07 21:07:21,2026-05-07 21:07:21
160,021529000,Tuguegarao City,6,2026-05-07 21:07:21,2026-05-07 21:07:21
161,023101000,Alicia,7,2026-05-07 21:07:21,2026-05-07 21:07:21
162,023102000,Angadanan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
163,023103000,Aurora,7,2026-05-07 21:07:21,2026-05-07 21:07:21
164,023104000,Benito Soliven,7,2026-05-07 21:07:21,2026-05-07 21:07:21
165,023105000,Burgos,7,2026-05-07 21:07:21,2026-05-07 21:07:21
166,023106000,Cabagan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
167,023107000,Cabatuan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
168,023108000,City of Cauayan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
169,023109000,Cordon,7,2026-05-07 21:07:21,2026-05-07 21:07:21
170,023110000,Dinapigue,7,2026-05-07 21:07:21,2026-05-07 21:07:21
171,023111000,Divilacan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
172,023112000,Echague,7,2026-05-07 21:07:21,2026-05-07 21:07:21
173,023113000,Gamu,7,2026-05-07 21:07:21,2026-05-07 21:07:21
174,023114000,City of Ilagan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
175,023115000,Jones,7,2026-05-07 21:07:21,2026-05-07 21:07:21
176,023116000,Luna,7,2026-05-07 21:07:21,2026-05-07 21:07:21
177,023117000,Maconacon,7,2026-05-07 21:07:21,2026-05-07 21:07:21
178,023118000,Delfin Albano,7,2026-05-07 21:07:21,2026-05-07 21:07:21
179,023119000,Mallig,7,2026-05-07 21:07:21,2026-05-07 21:07:21
180,023120000,Naguilian,7,2026-05-07 21:07:21,2026-05-07 21:07:21
181,023121000,Palanan,7,2026-05-07 21:07:21,2026-05-07 21:07:21
182,023122000,Quezon,7,2026-05-07 21:07:21,2026-05-07 21:07:21
183,023123000,Quirino,7,2026-05-07 21:07:21,2026-05-07 21:07:21
184,023124000,Ramon,7,2026-05-07 21:07:21,2026-05-07 21:07:21
185,023125000,Reina Mercedes,7,2026-05-07 21:07:21,2026-05-07 21:07:21
186,023126000,Roxas,7,2026-05-07 21:07:21,2026-05-07 21:07:21
187,023127000,San Agustin,7,2026-05-07 21:07:21,2026-05-07 21:07:21
188,023128000,San Guillermo,7,2026-05-07 21:07:21,2026-05-07 21:07:21
189,023129000,San Isidro,7,2026-05-07 21:07:21,2026-05-07 21:07:21
190,023130000,San Manuel,7,2026-05-07 21:07:21,2026-05-07 21:07:21
191,023131000,San Mariano,7,2026-05-07 21:07:21,2026-05-07 21:07:21
192,023132000,San Mateo,7,2026-05-07 21:07:21,2026-05-07 21:07:21
193,023133000,San Pablo,7,2026-05-07 21:07:21,2026-05-07 21:07:21
194,023134000,Santa Maria,7,2026-05-07 21:07:21,2026-05-07 21:07:21
195,023135000,City of Santiago,7,2026-05-07 21:07:21,2026-05-07 21:07:21
196,023136000,Santo Tomas,7,2026-05-07 21:07:21,2026-05-07 21:07:21
197,023137000,Tumauini,7,2026-05-07 21:07:21,2026-05-07 21:07:21
198,025001000,Ambaguio,8,2026-05-07 21:07:21,2026-05-07 21:07:21
199,025002000,Aritao,8,2026-05-07 21:07:21,2026-05-07 21:07:21
200,025003000,Bagabag,8,2026-05-07 21:07:21,2026-05-07 21:07:21
201,025004000,Bambang,8,2026-05-07 21:07:21,2026-05-07 21:07:21
202,025005000,Bayombong,8,2026-05-07 21:07:21,2026-05-07 21:07:21
203,025006000,Diadi,8,2026-05-07 21:07:21,2026-05-07 21:07:21
204,025007000,Dupax Del Norte,8,2026-05-07 21:07:21,2026-05-07 21:07:21
205,025008000,Dupax Del Sur,8,2026-05-07 21:07:21,2026-05-07 21:07:21
206,025009000,Kasibu,8,2026-05-07 21:07:21,2026-05-07 21:07:21
207,025010000,Kayapa,8,2026-05-07 21:07:21,2026-05-07 21:07:21
208,025011000,Quezon,8,2026-05-07 21:07:21,2026-05-07 21:07:21
209,025012000,Santa Fe,8,2026-05-07 21:07:21,2026-05-07 21:07:21
210,025013000,Solano,8,2026-05-07 21:07:21,2026-05-07 21:07:21
211,025014000,Villaverde,8,2026-05-07 21:07:21,2026-05-07 21:07:21
212,025015000,Alfonso Castaneda,8,2026-05-07 21:07:21,2026-05-07 21:07:21
213,025701000,Aglipay,9,2026-05-07 21:07:21,2026-05-07 21:07:21
214,025702000,Cabarroguis,9,2026-05-07 21:07:21,2026-05-07 21:07:21
215,025703000,Diffun,9,2026-05-07 21:07:21,2026-05-07 21:07:21
216,025704000,Maddela,9,2026-05-07 21:07:21,2026-05-07 21:07:21
217,025705000,Saguday,9,2026-05-07 21:07:21,2026-05-07 21:07:21
218,025706000,Nagtipunan,9,2026-05-07 21:07:21,2026-05-07 21:07:21
219,030801000,Abucay,10,2026-05-07 21:07:21,2026-05-07 21:07:21
220,030802000,Bagac,10,2026-05-07 21:07:21,2026-05-07 21:07:21
221,030803000,City of Balanga,10,2026-05-07 21:07:21,2026-05-07 21:07:21
222,030804000,Dinalupihan,10,2026-05-07 21:07:21,2026-05-07 21:07:21
223,030805000,Hermosa,10,2026-05-07 21:07:21,2026-05-07 21:07:21
224,030806000,Limay,10,2026-05-07 21:07:21,2026-05-07 21:07:21
225,030807000,Mariveles,10,2026-05-07 21:07:21,2026-05-07 21:07:21
226,030808000,Morong,10,2026-05-07 21:07:21,2026-05-07 21:07:21
227,030809000,Orani,10,2026-05-07 21:07:21,2026-05-07 21:07:21
228,030810000,Orion,10,2026-05-07 21:07:21,2026-05-07 21:07:21
229,030811000,Pilar,10,2026-05-07 21:07:21,2026-05-07 21:07:21
230,030812000,Samal,10,2026-05-07 21:07:21,2026-05-07 21:07:21
231,031401000,Angat,11,2026-05-07 21:07:21,2026-05-07 21:07:21
232,031402000,Balagtas,11,2026-05-07 21:07:21,2026-05-07 21:07:21
233,031403000,Baliuag,11,2026-05-07 21:07:21,2026-05-07 21:07:21
234,031404000,Bocaue,11,2026-05-07 21:07:21,2026-05-07 21:07:21
235,031405000,Bulacan,11,2026-05-07 21:07:21,2026-05-07 21:07:21
236,031406000,Bustos,11,2026-05-07 21:07:21,2026-05-07 21:07:21
237,031407000,Calumpit,11,2026-05-07 21:07:21,2026-05-07 21:07:21
238,031408000,Guiguinto,11,2026-05-07 21:07:21,2026-05-07 21:07:21
