table,data_json
announcements,"{""announcement_id"": ""1"", ""author_id"": ""5"", ""property_id"": ""3"", ""headline"": ""Pool Area Cleaning"", ""details"": ""Tillman Inc Apartments: Pool maintenance is scheduled for Tuesday. Please refrain from using the pool area during this time."", ""sender_role"": ""landlord"", ""recipient_role"": ""manager"", ""created_at"": ""2026-01-26 16:11:36"", ""updated_at"": ""2026-01-26 16:11:36"", ""deleted_at"": """", ""notification_date"": ""2026-01-26""}"
announcements,"{""announcement_id"": ""2"", ""author_id"": ""5"", ""property_id"": ""1"", ""headline"": ""Pool Area Cleaning"", ""details"": ""Christiansen-Harris Apartments: Pool maintenance is scheduled for Sunday. Please refrain from using the pool area during this time."", ""sender_role"": ""landlord"", ""recipient_role"": ""manager"", ""created_at"": ""2026-03-11 23:59:49"", ""updated_at"": ""2026-03-11 23:59:49"", ""deleted_at"": """", ""notification_date"": ""2026-03-11""}"
announcements,"{""announcement_id"": ""3"", ""author_id"": ""5"", ""property_id"": ""1"", ""headline"": ""Water Outage Alert"", ""details"": ""Christiansen-Harris Apartments: Temporary water outage affecting certain floors on May 14, 2026 from 19:03 to 09:33."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-11-23 02:54:12"", ""updated_at"": ""2025-11-23 02:54:12"", ""deleted_at"": """", ""notification_date"": ""2025-11-23""}"
announcements,"{""announcement_id"": ""4"", ""author_id"": ""5"", ""property_id"": ""3"", ""headline"": ""Laundry Room Maintenance"", ""details"": ""Tillman Inc Apartments: The laundry room will be unavailable from 15:14 to 18:52 on May 11, 2026 for equipment servicing."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-11-24 12:58:56"", ""updated_at"": ""2025-11-24 12:58:56"", ""deleted_at"": """", ""notification_date"": ""2025-11-24""}"
announcements,"{""announcement_id"": ""5"", ""author_id"": ""5"", ""property_id"": ""3"", ""headline"": ""Fire Drill Reminder"", ""details"": ""Tillman Inc Apartments: Fire drill scheduled for Sunday at 01:59. Follow safety instructions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-12-25 19:25:44"", ""updated_at"": ""2025-12-25 19:25:44"", ""deleted_at"": """", ""notification_date"": ""2025-12-25""}"
announcements,"{""announcement_id"": ""6"", ""author_id"": ""5"", ""property_id"": ""3"", ""headline"": ""Pool Area Cleaning"", ""details"": ""Tillman Inc Apartments: Pool maintenance is scheduled for Monday. Please refrain from using the pool area during this time."", ""sender_role"": ""landlord"", ""recipient_role"": ""manager"", ""created_at"": ""2026-04-22 18:27:55"", ""updated_at"": ""2026-04-22 18:27:55"", ""deleted_at"": """", ""notification_date"": ""2026-04-22""}"
announcements,"{""announcement_id"": ""7"", ""author_id"": ""5"", ""property_id"": ""2"", ""headline"": ""Scheduled Maintenance Notice"", ""details"": ""Johnson, Hoeger and Lang Apartments: General maintenance will be conducted on all units on May 15, 2026. Expect temporary service interruptions."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2026-02-14 22:33:55"", ""updated_at"": ""2026-02-14 22:33:55"", ""deleted_at"": """", ""notification_date"": ""2026-02-14""}"
announcements,"{""announcement_id"": ""8"", ""author_id"": ""5"", ""property_id"": ""3"", ""headline"": ""Pool Area Cleaning"", ""details"": ""Tillman Inc Apartments: Pool maintenance is scheduled for Monday. Please refrain from using the pool area during this time."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-11-20 18:55:52"", ""updated_at"": ""2025-11-20 18:55:52"", ""deleted_at"": """", ""notification_date"": ""2025-11-20""}"
announcements,"{""announcement_id"": ""9"", ""author_id"": ""3"", ""property_id"": ""3"", ""headline"": ""Fire Drill Reminder"", ""details"": ""Tillman Inc Apartments: Fire drill scheduled for Thursday at 19:43. Follow safety instructions."", ""sender_role"": ""landlord"", ""recipient_role"": ""manager"", ""created_at"": ""2026-04-12 06:51:22"", ""updated_at"": ""2026-04-12 06:51:22"", ""deleted_at"": """", ""notification_date"": ""2026-04-12""}"
announcements,"{""announcement_id"": ""10"", ""author_id"": ""3"", ""property_id"": ""1"", ""headline"": ""Recycling Program Update"", ""details"": ""Christiansen-Harris Apartments: Recycling program updates effective May 12, 2026. Follow new guidelines."", ""sender_role"": ""manager"", ""recipient_role"": ""tenant"", ""created_at"": ""2025-11-24 09:18:12"", ""updated_at"": ""2025-11-24 09:18:12"", ""deleted_at"": """", ""notification_date"": ""2025-11-24""}"
