lease_id,tenant_id,bed_id,status,term,shift,auto_renew,start_date,end_date,contract_rate,advance_amount,security_deposit,move_in,move_out,created_at,updated_at,deleted_at,monthly_due_date,late_payment_penalty,short_term_premium,reservation_fee_paid,early_termination_fee,forwarding_address,reason_for_vacating,deposit_refund_method,deposit_refund_account,tenant_signature,tenant_signed_at,tenant_signed_ip,owner_signature,owner_signed_at,owner_signed_ip,signed_contract_path,contract_agreed,moveout_tenant_signature,moveout_tenant_signed_at,moveout_tenant_signed_ip,moveout_owner_signature,moveout_owner_signed_at,moveout_owner_signed_ip,moveout_contract_agreed,moveout_signed_contract_path,contract_status,deposit_refund_amount,deposit_deductions,move_out_initiated_at,moveout_contract_status,manager_signature,manager_signed_at,manager_signed_ip,moveout_manager_signature,moveout_manager_signed_at,moveout_manager_signed_ip,deposit_interest_amount,deposit_refund_deadline,deposit_refund_completed_at,deposit_refund_reference,termination_reason,approval_status,approved_by,approved_at,rejection_reason,forwarding_province_id,forwarding_city_id,forwarding_barangay_id,forwarding_street
1,1,1,Expired,1,Morning,t,2026-01-01,2026-02-01,5345.00,5345.00,5345.00,2026-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_2.svg,2025-12-29 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2025-12-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2025-12-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
2,1,1,Active,6,Morning,f,2026-02-01,2026-08-01,5345.00,5345.00,5345.00,2026-02-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,,,,,,,,f,,,,,,,f,,draft,,,,draft,,,,,,,,,,,,approved,,,,,,,
3,6,22,Expired,1,Morning,t,2024-03-01,2024-04-01,11065.00,11065.00,11065.00,2024-03-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2024-02-27 00:00:00,127.0.0.1,signatures/seed_owner_1.svg,2024-02-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2024-02-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
4,6,22,Expired,1,Morning,t,2024-04-01,2024-05-01,11065.00,11065.00,11065.00,2024-04-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2024-03-27 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2024-03-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2024-03-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
5,6,22,Expired,12,Morning,t,2024-05-01,2025-05-01,11065.00,11065.00,11065.00,2024-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_5.svg,2024-04-26 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2024-04-26 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2024-04-26 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
6,6,22,Expired,1,Morning,t,2025-05-01,2025-06-01,11065.00,11065.00,11065.00,2025-05-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2025-04-24 00:00:00,127.0.0.1,signatures/seed_owner_2.svg,2025-04-24 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_2.svg,2025-04-24 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
7,6,22,Expired,1,Morning,t,2025-06-01,2025-07-01,11065.00,11065.00,11065.00,2025-06-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_3.svg,2025-05-29 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2025-05-29 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_3.svg,2025-05-29 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
8,6,22,Expired,6,Morning,t,2025-07-01,2026-01-01,11065.00,11065.00,11065.00,2025-07-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2025-06-28 00:00:00,127.0.0.1,signatures/seed_owner_4.svg,2025-06-28 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_1.svg,2025-06-28 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
9,6,22,Active,6,Morning,f,2026-01-01,2026-07-01,11065.00,11065.00,11065.00,2026-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,0.00,0.00,0.00,,,,,signatures/seed_tenant_4.svg,2025-12-29 00:00:00,127.0.0.1,,,,,t,,,,,,,f,,pending_owner,,,,draft,,,,,,,,,,,,approved,,,,,,,
10,8,71,Expired,1,Morning,t,2024-01-01,2024-02-01,7241.00,7241.00,7241.00,2024-01-01,,2026-05-07 21:26:03,2026-05-07 21:26:03,,1,1.00,500.00,0.00,0.00,,,,,signatures/seed_tenant_1.svg,2023-12-27 00:00:00,127.0.0.1,signatures/seed_owner_3.svg,2023-12-27 00:00:00,127.0.0.1,,t,,,,,,,f,,executed,,,,draft,signatures/seed_manager_4.svg,2023-12-27 00:00:00,127.0.0.1,,,,,,,,,approved,,,,,,,
