log_id,request_id,completion_date,cost,created_at,updated_at,deleted_at,description,charged_to
1,1,2021-01-09,4685.52,2021-01-09 00:00:00,2021-01-09 00:00:00,,,owner
2,2,2021-01-18,607.65,2021-01-18 00:00:00,2021-01-18 00:00:00,,,owner
3,3,2021-01-21,5906.04,2021-01-21 00:00:00,2021-01-21 00:00:00,,,owner
4,4,2021-01-18,6635.05,2021-01-18 00:00:00,2021-01-18 00:00:00,,,owner
5,5,2021-01-12,704.17,2021-01-12 00:00:00,2021-01-12 00:00:00,,,owner
6,6,2021-01-07,3953.51,2021-01-07 00:00:00,2021-01-07 00:00:00,,,owner
7,7,2021-01-20,3588.49,2021-01-20 00:00:00,2021-01-20 00:00:00,,,owner
8,8,2021-01-22,923.32,2021-01-22 00:00:00,2021-01-22 00:00:00,,,owner
9,9,2021-01-08,1548.10,2021-01-08 00:00:00,2021-01-08 00:00:00,,,owner
10,10,2021-01-28,4117.31,2021-01-28 00:00:00,2021-01-28 00:00:00,,,owner
11,11,2021-02-10,6740.85,2021-02-10 00:00:00,2021-02-10 00:00:00,,,owner
12,12,2021-01-28,4743.38,2021-01-28 00:00:00,2021-01-28 00:00:00,,,owner
13,13,2021-01-10,2142.67,2021-01-10 00:00:00,2021-01-10 00:00:00,,,owner
14,14,2021-01-13,3527.35,2021-01-13 00:00:00,2021-01-13 00:00:00,,,owner
15,15,2021-01-14,1997.36,2021-01-14 00:00:00,2021-01-14 00:00:00,,,owner
16,16,2021-01-09,5185.77,2021-01-09 00:00:00,2021-01-09 00:00:00,,,owner
17,17,2021-01-18,3845.65,2021-01-18 00:00:00,2021-01-18 00:00:00,,,owner
18,18,2021-01-24,7015.18,2021-01-24 00:00:00,2021-01-24 00:00:00,,,owner
19,19,2021-01-20,5675.86,2021-01-20 00:00:00,2021-01-20 00:00:00,,,owner
20,20,2021-01-05,2336.46,2021-01-05 00:00:00,2021-01-05 00:00:00,,,owner
21,21,2021-01-27,5776.13,2021-01-27 00:00:00,2021-01-27 00:00:00,,,owner
22,22,2021-01-17,2045.56,2021-01-17 00:00:00,2021-01-17 00:00:00,,,owner
23,23,2021-01-16,3841.10,2021-01-16 00:00:00,2021-01-16 00:00:00,,,owner
24,24,2021-01-22,4972.62,2021-01-22 00:00:00,2021-01-22 00:00:00,,,owner
25,25,2021-02-04,6459.68,2021-02-04 00:00:00,2021-02-04 00:00:00,,,owner
26,26,2021-01-25,1263.80,2021-01-25 00:00:00,2021-01-25 00:00:00,,,owner
27,27,2021-02-21,4089.68,2021-02-21 00:00:00,2021-02-21 00:00:00,,,owner
28,28,2021-02-23,8031.92,2021-02-23 00:00:00,2021-02-23 00:00:00,,,owner
29,29,2021-02-24,6594.03,2021-02-24 00:00:00,2021-02-24 00:00:00,,,owner
30,30,2021-02-19,4554.73,2021-02-19 00:00:00,2021-02-19 00:00:00,,,owner
31,32,2021-02-08,1811.43,2021-02-08 00:00:00,2021-02-08 00:00:00,,,owner
32,33,2021-02-26,4089.86,2021-02-26 00:00:00,2021-02-26 00:00:00,,,owner
33,34,2021-02-22,2721.47,2021-02-22 00:00:00,2021-02-22 00:00:00,,,owner
34,35,2021-02-03,8861.25,2021-02-03 00:00:00,2021-02-03 00:00:00,,,owner
35,36,2021-03-01,7977.65,2021-03-01 00:00:00,2021-03-01 00:00:00,,,owner
36,37,2021-02-25,3804.03,2021-02-25 00:00:00,2021-02-25 00:00:00,,,owner
37,38,2021-02-08,925.43,2021-02-08 00:00:00,2021-02-08 00:00:00,,,owner
38,39,2021-02-05,1975.42,2021-02-05 00:00:00,2021-02-05 00:00:00,,,owner
39,40,2021-02-02,6650.51,2021-02-02 00:00:00,2021-02-02 00:00:00,,,owner
40,41,2021-02-08,6970.81,2021-02-08 00:00:00,2021-02-08 00:00:00,,,owner
41,42,2021-03-04,8042.35,2021-03-04 00:00:00,2021-03-04 00:00:00,,,owner
42,43,2021-02-16,3866.43,2021-02-16 00:00:00,2021-02-16 00:00:00,,,owner
43,44,2021-02-28,3143.42,2021-02-28 00:00:00,2021-02-28 00:00:00,,,owner
44,45,2021-02-09,662.09,2021-02-09 00:00:00,2021-02-09 00:00:00,,,owner
45,46,2021-02-28,3455.78,2021-02-28 00:00:00,2021-02-28 00:00:00,,,owner
46,47,2021-02-22,1458.34,2021-02-22 00:00:00,2021-02-22 00:00:00,,,owner
47,48,2021-02-12,3298.82,2021-02-12 00:00:00,2021-02-12 00:00:00,,,owner
48,49,2021-02-11,3007.45,2021-02-11 00:00:00,2021-02-11 00:00:00,,,owner
49,50,2021-02-08,9796.32,2021-02-08 00:00:00,2021-02-08 00:00:00,,,owner
50,51,2021-03-14,1786.38,2021-03-14 00:00:00,2021-03-14 00:00:00,,,owner
51,52,2021-04-06,7054.19,2021-04-06 00:00:00,2021-04-06 00:00:00,,,owner
52,53,2021-03-06,1453.92,2021-03-06 00:00:00,2021-03-06 00:00:00,,,owner
53,54,2021-03-29,1646.58,2021-03-29 00:00:00,2021-03-29 00:00:00,,,owner
54,55,2021-03-13,3516.03,2021-03-13 00:00:00,2021-03-13 00:00:00,,,owner
55,56,2021-03-20,1009.44,2021-03-20 00:00:00,2021-03-20 00:00:00,,,owner
56,57,2021-03-24,4102.89,2021-03-24 00:00:00,2021-03-24 00:00:00,,,owner
57,58,2021-03-30,2458.62,2021-03-30 00:00:00,2021-03-30 00:00:00,,,owner
58,59,2021-03-02,4508.20,2021-03-02 00:00:00,2021-03-02 00:00:00,,,owner
59,60,2021-03-11,4513.65,2021-03-11 00:00:00,2021-03-11 00:00:00,,,owner
60,61,2021-04-01,3132.82,2021-04-01 00:00:00,2021-04-01 00:00:00,,,owner
61,62,2021-03-11,6360.08,2021-03-11 00:00:00,2021-03-11 00:00:00,,,owner
62,63,2021-03-15,2662.44,2021-03-15 00:00:00,2021-03-15 00:00:00,,,owner
63,64,2021-03-17,5420.17,2021-03-17 00:00:00,2021-03-17 00:00:00,,,owner
64,65,2021-03-25,7382.88,2021-03-25 00:00:00,2021-03-25 00:00:00,,,owner
65,66,2021-03-24,2366.17,2021-03-24 00:00:00,2021-03-24 00:00:00,,,owner
66,67,2021-03-12,3154.69,2021-03-12 00:00:00,2021-03-12 00:00:00,,,owner
67,68,2021-03-27,5091.25,2021-03-27 00:00:00,2021-03-27 00:00:00,,,owner
68,69,2021-03-21,1871.29,2021-03-21 00:00:00,2021-03-21 00:00:00,,,owner
69,70,2021-03-10,4470.40,2021-03-10 00:00:00,2021-03-10 00:00:00,,,owner
70,71,2021-03-13,7542.66,2021-03-13 00:00:00,2021-03-13 00:00:00,,,owner
71,73,2021-03-09,2326.97,2021-03-09 00:00:00,2021-03-09 00:00:00,,,owner
72,74,2021-03-10,2770.50,2021-03-10 00:00:00,2021-03-10 00:00:00,,,owner
73,75,2021-04-16,644.23,2021-04-16 00:00:00,2021-04-16 00:00:00,,,owner
74,76,2021-04-02,7791.54,2021-04-02 00:00:00,2021-04-02 00:00:00,,,owner
75,77,2021-04-21,3205.24,2021-04-21 00:00:00,2021-04-21 00:00:00,,,owner
76,78,2021-04-27,3007.41,2021-04-27 00:00:00,2021-04-27 00:00:00,,,owner
77,79,2021-05-01,4366.67,2021-05-01 00:00:00,2021-05-01 00:00:00,,,owner
78,80,2021-04-22,1134.10,2021-04-22 00:00:00,2021-04-22 00:00:00,,,owner
79,81,2021-04-25,6700.89,2021-04-25 00:00:00,2021-04-25 00:00:00,,,owner
80,82,2021-04-09,835.26,2021-04-09 00:00:00,2021-04-09 00:00:00,,,owner
81,83,2021-04-17,5019.60,2021-04-17 00:00:00,2021-04-17 00:00:00,,,owner
82,84,2021-04-05,2359.73,2021-04-05 00:00:00,2021-04-05 00:00:00,,,owner
83,85,2021-04-16,3171.40,2021-04-16 00:00:00,2021-04-16 00:00:00,,,owner
84,86,2021-04-21,5314.88,2021-04-21 00:00:00,2021-04-21 00:00:00,,,owner
85,87,2021-04-08,3837.74,2021-04-08 00:00:00,2021-04-08 00:00:00,,,owner
86,88,2021-04-20,6758.24,2021-04-20 00:00:00,2021-04-20 00:00:00,,,owner
87,89,2021-04-14,2278.29,2021-04-14 00:00:00,2021-04-14 00:00:00,,,owner
88,90,2021-04-26,7954.36,2021-04-26 00:00:00,2021-04-26 00:00:00,,,owner
89,91,2021-04-22,4929.65,2021-04-22 00:00:00,2021-04-22 00:00:00,,,owner
90,92,2021-04-24,1936.04,2021-04-24 00:00:00,2021-04-24 00:00:00,,,owner
91,93,2021-05-02,1832.28,2021-05-02 00:00:00,2021-05-02 00:00:00,,,owner
92,94,2021-05-09,4203.59,2021-05-09 00:00:00,2021-05-09 00:00:00,,,owner
93,95,2021-04-16,7294.74,2021-04-16 00:00:00,2021-04-16 00:00:00,,,owner
94,96,2021-04-18,2002.50,2021-04-18 00:00:00,2021-04-18 00:00:00,,,owner
95,97,2021-04-24,4299.93,2021-04-24 00:00:00,2021-04-24 00:00:00,,,owner
96,98,2021-04-22,5773.57,2021-04-22 00:00:00,2021-04-22 00:00:00,,,owner
97,99,2021-04-12,2517.00,2021-04-12 00:00:00,2021-04-12 00:00:00,,,owner
98,100,2021-04-23,6144.38,2021-04-23 00:00:00,2021-04-23 00:00:00,,,owner
