id,billing_id,lease_id,tenant_id,payment_method,reference_number,amount_paid,proof_image,status,reject_reason,reviewed_by,reviewed_at,created_at,updated_at,payment_category_id
1,1,242,41,Bank Transfer,FRNT-JAN2021-1,24844.00,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,4
2,3,242,41,Maya,FRNT-MAR2021-3,15425.48,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-03-01 00:00:00,2021-03-01 00:00:00,2021-03-01 00:00:00,1
3,4,242,41,Bank Transfer,FRNT-APR2021-4,14145.13,payment_proofs/sample_proof_1.svg,Confirmed,,4,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:00:00,4
4,7,24,12,GCash,FRNT-APR2021-7,13830.63,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:00:00,2
5,9,25,12,GCash,FRNT-MAY2021-9,13806.71,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-05-01 00:00:00,2
6,11,292,7,Maya,FRNT-APR2021-11,25626.00,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:00:00,2
7,12,292,7,GCash,FRNT-MAY2021-12,14799.87,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-05-01 00:00:00,1
8,13,292,7,Bank Transfer,FRNT-JUN2021-13,15163.67,payment_proofs/sample_proof_1.svg,Confirmed,,4,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,3
9,14,292,7,Maya,FRNT-JUL2021-14,14935.01,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-07-01 00:00:00,2021-07-01 00:00:00,2021-07-01 00:00:00,2
10,15,292,7,Maya,FRNT-AUG2021-15,15019.86,payment_proofs/sample_proof_5.svg,Confirmed,,4,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,1
11,17,292,7,Maya,FRNT-OCT2021-17,15452.07,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2
12,18,292,7,Bank Transfer,FRNT-NOV2021-18,14932.16,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-11-01 00:00:00,2021-11-01 00:00:00,2021-11-01 00:00:00,3
13,20,292,7,GCash,FRNT-JAN2022-20,14361.03,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,4
14,21,292,7,GCash,FRNT-FEB2022-21,14777.81,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-02-01 00:00:00,2022-02-01 00:00:00,2022-02-01 00:00:00,1
15,22,292,7,GCash,FRNT-MAR2022-22,15542.93,payment_proofs/sample_proof_5.svg,Confirmed,,4,2022-03-01 00:00:00,2022-03-01 00:00:00,2022-03-01 00:00:00,3
16,23,292,7,Bank Transfer,FRNT-APR2022-23,14222.87,payment_proofs/sample_proof_1.svg,Confirmed,,4,2022-04-01 00:00:00,2022-04-01 00:00:00,2022-04-01 00:00:00,2
17,25,243,41,Maya,FRNT-MAY2021-25,13952.70,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-05-01 00:00:00,2
18,26,243,41,Bank Transfer,FRNT-JUN2021-26,14155.11,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,1
19,28,243,41,GCash,FRNT-AUG2021-28,13959.60,payment_proofs/sample_proof_1.svg,Confirmed,,4,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,4
20,29,243,41,Bank Transfer,FRNT-SEP2021-29,13934.19,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,3
21,30,243,41,Bank Transfer,FRNT-OCT2021-30,13033.59,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2
22,32,26,12,GCash,FRNT-JUN2021-32,13707.39,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,4
23,34,27,12,Maya,FRNT-JUL2021-34,13522.30,payment_proofs/sample_proof_2.svg,Confirmed,,4,2021-07-01 00:00:00,2021-07-01 00:00:00,2021-07-01 00:00:00,2
24,36,28,12,Maya,FRNT-AUG2021-36,13932.64,payment_proofs/sample_proof_3.svg,Confirmed,,4,2021-08-01 00:00:00,2021-08-01 00:00:00,2021-08-01 00:00:00,4
25,37,28,12,Bank Transfer,FRNT-SEP2021-37,14338.74,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-09-01 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,2
26,38,28,12,Bank Transfer,FRNT-OCT2021-38,13814.42,payment_proofs/sample_proof_4.svg,Confirmed,,4,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,3
