id,psgc_code,name,created_at,updated_at
1,012800000,Ilocos Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
2,012900000,Ilocos Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
3,013300000,La Union,2026-05-07 21:07:21,2026-05-07 21:07:21
4,015500000,Pangasinan,2026-05-07 21:07:21,2026-05-07 21:07:21
5,020900000,Batanes,2026-05-07 21:07:21,2026-05-07 21:07:21
6,021500000,Cagayan,2026-05-07 21:07:21,2026-05-07 21:07:21
7,023100000,Isabela,2026-05-07 21:07:21,2026-05-07 21:07:21
8,025000000,Nueva Vizcaya,2026-05-07 21:07:21,2026-05-07 21:07:21
9,025700000,Quirino,2026-05-07 21:07:21,2026-05-07 21:07:21
10,030800000,Bataan,2026-05-07 21:07:21,2026-05-07 21:07:21
11,031400000,Bulacan,2026-05-07 21:07:21,2026-05-07 21:07:21
12,034900000,Nueva Ecija,2026-05-07 21:07:21,2026-05-07 21:07:21
13,035400000,Pampanga,2026-05-07 21:07:21,2026-05-07 21:07:21
14,036900000,Tarlac,2026-05-07 21:07:21,2026-05-07 21:07:21
15,037100000,Zambales,2026-05-07 21:07:21,2026-05-07 21:07:21
16,037700000,Aurora,2026-05-07 21:07:21,2026-05-07 21:07:21
17,041000000,Batangas,2026-05-07 21:07:21,2026-05-07 21:07:21
18,042100000,Cavite,2026-05-07 21:07:21,2026-05-07 21:07:21
19,043400000,Laguna,2026-05-07 21:07:21,2026-05-07 21:07:21
20,045600000,Quezon,2026-05-07 21:07:21,2026-05-07 21:07:21
21,045800000,Rizal,2026-05-07 21:07:21,2026-05-07 21:07:21
22,174000000,Marinduque,2026-05-07 21:07:21,2026-05-07 21:07:21
23,175100000,Occidental Mindoro,2026-05-07 21:07:21,2026-05-07 21:07:21
24,175200000,Oriental Mindoro,2026-05-07 21:07:21,2026-05-07 21:07:21
25,175300000,Palawan,2026-05-07 21:07:21,2026-05-07 21:07:21
26,175900000,Romblon,2026-05-07 21:07:21,2026-05-07 21:07:21
27,050500000,Albay,2026-05-07 21:07:21,2026-05-07 21:07:21
28,051600000,Camarines Norte,2026-05-07 21:07:21,2026-05-07 21:07:21
29,051700000,Camarines Sur,2026-05-07 21:07:21,2026-05-07 21:07:21
30,052000000,Catanduanes,2026-05-07 21:07:21,2026-05-07 21:07:21
31,054100000,Masbate,2026-05-07 21:07:21,2026-05-07 21:07:21
32,056200000,Sorsogon,2026-05-07 21:07:21,2026-05-07 21:07:21
33,060400000,Aklan,2026-05-07 21:07:21,2026-05-07 21:07:21
34,060600000,Antique,2026-05-07 21:07:21,2026-05-07 21:07:21
35,061900000,Capiz,2026-05-07 21:07:21,2026-05-07 21:07:21
36,063000000,Iloilo,2026-05-07 21:07:21,2026-05-07 21:07:21
37,064500000,Negros Occidental,2026-05-07 21:07:21,2026-05-07 21:07:21
38,067900000,Guimaras,2026-05-07 21:07:21,2026-05-07 21:07:21
39,071200000,Bohol,2026-05-07 21:07:21,2026-05-07 21:07:21
40,072200000,Cebu,2026-05-07 21:07:21,2026-05-07 21:07:21
41,074600000,Negros Oriental,2026-05-07 21:07:21,2026-05-07 21:07:21
42,076100000,Siquijor,2026-05-07 21:07:21,2026-05-07 21:07:21
43,082600000,Eastern Samar,2026-05-07 21:07:21,2026-05-07 21:07:21
