transaction_id,billing_id,name,reference_number,transaction_type,category,transaction_date,amount,is_recurring,created_at,updated_at,deleted_at,payment_method,or_number
1,1,Move-In Payment - Billing #1,FRNT-JAN2021-1,Credit,Rent Payment,2021-01-01,24844.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210101-1
2,2,Rent Payment - Billing #2,FRNT-FEB2021-2,Credit,Rent Payment,2021-02-01,15165.35,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210201-2
3,3,Rent Payment - Billing #3,FRNT-MAR2021-3,Credit,Rent Payment,2021-03-01,15425.48,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Maya,OR-20210301-3
4,4,Rent Payment - Billing #4,FRNT-APR2021-4,Credit,Rent Payment,2021-04-01,14145.13,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210401-4
5,5,Move-Out Settlement - Billing #5,FRNT-APR2021-5,Credit,Rent Payment,2021-04-01,-11198.87,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Bank Transfer,OR-20210401-5
6,6,Move-In Payment - Billing #6,FRNT-MAR2021-6,Credit,Rent Payment,2021-03-01,24008.00,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210301-6
7,7,Rent Payment - Billing #7,FRNT-APR2021-7,Credit,Rent Payment,2021-04-01,13830.63,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210401-7
8,8,Move-Out Settlement - Billing #8,FRNT-APR2021-8,Credit,Rent Payment,2021-04-01,-10677.37,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210401-8
9,9,Rent Payment - Billing #9,FRNT-MAY2021-9,Credit,Rent Payment,2021-05-01,13806.71,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,GCash,OR-20210501-9
10,10,Move-Out Settlement - Billing #10,FRNT-MAY2021-10,Credit,Rent Payment,2021-05-01,-10701.29,f,2026-05-07 21:28:48,2026-05-07 21:28:48,,Cash,OR-20210501-10
