unit_id,property_id,manager_id,floor_number,unit_number,occupants,living_area,furnishing,bed_type,room_cap,room_type,price,amenities,created_at,updated_at,deleted_at
2,1,43,1,0102,Co-ed,170.7,Semi-furnished,Single,1,,10883.00,"[""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:48,2026-05-07 21:25:48,
3,1,43,1,0103,Female,182,Semi-furnished,Bunk,4,,11815.00,"[""Free_Wifi"",""Water_Kettle"",""Refrigerator"",""Microwave"",""Rice_Cooker"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool""]",2026-05-07 21:25:48,2026-05-07 21:25:48,
4,1,4,1,0104,Male,87,Semi-furnished,Single,1,,12885.00,"[""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Rice_Cooker"",""Dining_Table"",""AC_Unit"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:49,2026-05-07 21:25:49,
5,1,44,2,0201,Male,102.6,Semi-furnished,Single,1,,7125.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Dining_Table"",""Utility_Subsidy"",""Induction_Cooker"",""Access_Gym""]",2026-05-07 21:25:49,2026-05-07 21:25:49,
6,1,43,2,0202,Female,175.5,Semi-furnished,Single,1,,10156.00,"[""Free_Wifi"",""Rice_Cooker"",""Induction_Cooker"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:49,2026-05-07 21:25:49,
7,1,42,2,0203,Female,173.2,Semi-furnished,Bunk,4,,6718.00,"[""Closet_Cabinet"",""Rice_Cooker"",""AC_Unit"",""Washing_Machine""]",2026-05-07 21:25:49,2026-05-07 21:25:49,
8,1,3,2,0204,Male,144.5,Semi-furnished,Bunk,4,,12296.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Microwave"",""Dining_Table"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:50,2026-05-07 21:25:50,
9,1,3,3,0301,Male,126.5,Semi-furnished,Single,1,,12697.00,"[""Hot_Cold_Shower"",""Electric_Fan"",""Water_Kettle"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""Induction_Cooker"",""Washing_Machine"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:50,2026-05-07 21:25:50,
10,1,4,3,0302,Co-ed,146.6,Semi-furnished,Bunk,4,,11065.00,"[""Free_Wifi"",""Hot_Cold_Shower"",""Water_Kettle"",""Microwave"",""Utility_Subsidy"",""Induction_Cooker"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:50,2026-05-07 21:25:50,
11,1,4,3,0303,Male,149.8,Semi-furnished,Bunk,4,,12813.00,"[""Free_Wifi"",""Refrigerator"",""Rice_Cooker""]",2026-05-07 21:25:50,2026-05-07 21:25:50,
12,1,44,3,0304,Male,127.9,Semi-furnished,Single,1,,10174.00,"[""Electric_Fan"",""Closet_Cabinet"",""Refrigerator"",""Microwave"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Washing_Machine""]",2026-05-07 21:25:51,2026-05-07 21:25:51,
13,1,42,4,0401,Co-ed,133.8,Semi-furnished,Single,1,,10312.00,"[""Housekeeping"",""Microwave"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""Induction_Cooker"",""Washing_Machine"",""Access_Gym""]",2026-05-07 21:25:51,2026-05-07 21:25:51,
14,1,44,4,0402,Co-ed,162.1,Semi-furnished,Bunk,4,,12151.00,"[""Electric_Fan"",""Refrigerator"",""Utility_Subsidy"",""AC_Unit"",""Induction_Cooker"",""Access_Gym""]",2026-05-07 21:25:51,2026-05-07 21:25:51,
15,1,43,4,0403,Male,141.4,Semi-furnished,Single,1,,8021.00,"[""Closet_Cabinet"",""Housekeeping"",""Microwave"",""Rice_Cooker"",""Utility_Subsidy"",""Access_Gym""]",2026-05-07 21:25:52,2026-05-07 21:25:52,
16,1,43,4,0404,Male,111.1,Semi-furnished,Bunk,4,,7355.00,"[""Water_Kettle"",""Closet_Cabinet"",""Housekeeping"",""Refrigerator"",""Rice_Cooker"",""AC_Unit"",""Access_Pool""]",2026-05-07 21:25:52,2026-05-07 21:25:52,
17,1,42,5,0501,Co-ed,177.9,Semi-furnished,Single,1,,13466.00,"[""Hot_Cold_Shower"",""Water_Kettle"",""Refrigerator"",""Rice_Cooker"",""Dining_Table"",""Utility_Subsidy"",""AC_Unit""]",2026-05-07 21:25:52,2026-05-07 21:25:52,
18,1,4,5,0502,Co-ed,113.6,Semi-furnished,Bunk,4,,12829.00,"[""Water_Kettle"",""Refrigerator"",""Microwave"",""Dining_Table"",""AC_Unit"",""Access_Pool"",""Access_Gym""]",2026-05-07 21:25:52,2026-05-07 21:25:52,
