utility_bill_id,unit_id,utility_type,billing_period,total_amount,tenant_count,per_tenant_amount,entered_by,created_at,updated_at,deleted_at
1,23,electricity,2022-10-01,1768.32,1,1768.32,42,2026-05-07 21:26:09,2026-05-07 21:26:09,
2,23,electricity,2022-11-01,1261.80,1,1261.80,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
3,23,water,2022-11-01,294.43,1,294.43,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
4,23,electricity,2022-12-01,1310.71,1,1310.71,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
5,23,electricity,2023-01-01,1601.94,2,800.97,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
6,23,electricity,2023-02-01,1950.69,2,975.35,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
7,23,water,2023-02-01,492.84,2,246.42,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
8,23,electricity,2023-03-01,1499.88,2,749.94,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
9,23,water,2023-03-01,409.15,2,204.58,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
10,23,electricity,2023-04-01,1326.69,1,1326.69,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
11,23,electricity,2023-05-01,1488.50,1,1488.50,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
12,23,electricity,2023-06-01,2351.72,2,1175.86,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
13,23,water,2023-06-01,299.93,2,149.97,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
14,23,electricity,2023-07-01,1424.21,1,1424.21,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
15,23,water,2023-07-01,402.12,1,402.12,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
16,23,electricity,2023-08-01,2270.31,1,2270.31,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
17,23,electricity,2023-09-01,1359.96,1,1359.96,42,2026-05-07 21:26:10,2026-05-07 21:26:10,
18,23,electricity,2023-10-01,2292.84,1,2292.84,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
19,23,electricity,2023-11-01,1301.70,1,1301.70,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
20,23,electricity,2023-12-01,1800.42,1,1800.42,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
21,23,water,2023-12-01,465.82,1,465.82,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
22,23,electricity,2024-01-01,1409.88,1,1409.88,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
23,23,water,2024-01-01,469.42,1,469.42,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
24,23,electricity,2024-02-01,2162.01,1,2162.01,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
25,23,water,2024-02-01,257.45,1,257.45,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
26,23,electricity,2024-03-01,2199.14,1,2199.14,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
27,23,water,2024-03-01,305.90,1,305.90,42,2026-05-07 21:26:11,2026-05-07 21:26:11,
